Old,New
Horror,Horror
Sports,Sports
Simulation,Simulation
Shooter,Shooter
RPG,RPG
Strategy,Strategy
Adventure,Adventure
Platformer,Platformer
Puzzle,Puzzle
Action,Action
Role-playing,RPG
Action role-playing,Action
Fighting,Action
Action-adventure,Adventure
First-person shooter,Shooter
Shoot 'em up,Shooter
Survival horror,Horror
Platform,Platformer
Visual novel,Adventure
Hidden object,Platformer
Tactical role-playing,Action
Platformerpuzzle,Puzzle
Graphic adventure,Adventure
Real-time strategy,Strategy
"Platform, puzzle",Puzzle
Actionplatformer,Platformer
Turn-based strategy,Strategy
"Adventure, puzzle",Puzzle
Unknown,Action
Point-and-click adventure,Adventure
Third-person shooter,Shooter
Rhythm,Platformer
"Action-adventure, stealth",Action
Beat 'em up,Action
Tower defense,Strategy
Arcade,Action
Metroidvania,Action
Actionplatform,Action
"Music, rhythm",Platformer
Party,Puzzle
Hack and slash,Action
Survival,Action
Vehicular combat,Action
MMORPG,RPG
Interactive drama,Adventure
"Action, stealth",Action
Turn-based tactics,Strategy
Business simulation,Simulation
Top-down shooter,Shooter
Platform-adventure,Adventure
Partytrivia,Puzzle
Tactical shooter,Shooter
"Simulation, strategy",Strategy
"Adventure, horror",Horror
Board game,Puzzle
Tactical ShooterStealth,Shooter
Stealth,Action
"Fighting, sports",Sports
"Action role-playing, hack and slash",Action
Actionpuzzle,Puzzle
Card & board,Puzzle
Action platformer,Platformer
"Adventure, visual novel",Adventure
"Action, strategy",Action
"Action, party",Puzzle
"Action, puzzle",Puzzle
Run and gun,Shooter
Dungeon crawler,RPG
"Adventure, survival",Adventure
Twin-stick shooter,Shooter
Sandbox,Simulation
Actionhack and slash,Action
Racingvehicular combat,Action
"Action-adventure, hack and slash",Action
First- and third-person shooter,Shooter
"Adventure, platform",Adventure
"Action-adv, platformer",Platformer
Music,Puzzle
"Action, sports",Sports
Life simulation,Simulation
Real-time tactics,Strategy
"Action, survival",Action
Brawler,Action
Mech-combat,Action
Puzzle platformer,Puzzle
"Adventure, role-playing",RPG
Flight simulator,Simulation
"Party, puzzle",Puzzle
Dōjin,Horror
"Racing, sports",Sports
Racing,Sports
"Action role-playing, first-person shooter",Shooter
"Turn-based, role-playing",Strategy
Action-adventureplatform,Platformer
"Platform, beat 'em up",Platformer
Adventurepuzzle,Puzzle
Roguelike,Adventure
Artillerystrategyturn-based,Strategy
"Adventure, strategy",Strategy
"Adventure, platformer",Platformer
Nonogrampuzzle,Puzzle
"Tactical role-playing, visual novel",Adventure
"Party, trivia",Puzzle
Card & Board,Puzzle
"Horror, puzzle",Horror
"First-person shooter, stealth",Shooter
Sim racing,Sports
Simulationcity-building,Simulation
"Skateboard, side-scroller",Sports
Role-playingstrategy,Strategy
"Board game, party",Puzzle
"Fighting, shooter",Action
"Rhythm, god game",Puzzle
"Horror, Survival",Horror
Platformparkour,Platformer
Side-scroller,Platformer
"Adventure, art",Adventure
Space combat,Action
Chess,Puzzle
4Xturn-based strategy,Strategy
MOBA,Action
Action-adventuresurvival,Action
Strategyrole-playing,Strategy
"Action, shooter",Action
"Action, roguelike",Action
"Role-playing, sandbox",RPG
"Puzzle, role-playing",Puzzle
Card battle,Puzzle
"Action role-playing, survival horror",Horror
Battle royale,Action
Musicrhythm,Puzzle
Role-playingroguelike,RPG
2D platformer,Platformer
Racingplatform,Sports
Visual novelhorror,Horror
"Action, hack and slash",Action
"Open world, survival",Action
Adventurerole-playing,Adventure
"Racing, tower defense",Strategy
Rail shooter,Shooter
Psychological horror,Horror
Platformerstealth,Platformer
Adventurevisual novel,Adventure
Action role-playinghack and slash,Action
Adventureplatformer,Adventure
"Action, Adventure",Adventure
"Party, quiz",Puzzle
"Action, beat 'em up",Action
"Role-playing, shooter",RPG
"Action-adv, open world",Adventure
Puzzle-platform,Puzzle
Kart racing,Sports
Actionsports,Sports
"Action role-playing, survival",Action
City-building,Simulation
3D platformer,Platformer
"Brawler, stealth",Action
"Action-adventure, open world",Action
Hack and slashthird-person shooter,Shooter
Shoot'em upvisual novel,Adventure
"Action-adventure, roguelike",Adventure
"Action role-playing, beat 'em up",Action
"Platformer, stealth",Platformer
"Role-playing, roguelike",RPG
Turn-based tacticssurvival,Strategy
"Beat 'em up, role-playing",RPG
Platformerroguelike,Platformer
Game creation system,Simulation
"Adventure, FMV",Adventure
Run and gunshooter,Shooter
"Action role-playing, hack and slash, roguelike",Action
Card gamerole-playing,Puzzle
"Roguelike, survival",Adventure
Auto battlerstrategy,Strategy
Role-playingsandbox,Simulation
Simulation role-playing,Simulation
"Platformer, shooter",Platformer
"Platformer, racing",Platformer
"Simulation, visual novel",Simulation
"Action-adv, Action role-playing",Action
"Action, Platform",Action
Action-adventurehack and slash,Action
Space Shooter,Action
OPCD/S-game,Simulation
Racingdrifting,Sports
"Puzzle, survival horror",Horror
3D Platform,Platformer
Musicrhythmsports,Puzzle
Role-playingmech-combat,RPG
"Karaoke, music",Puzzle
Puzzlestrategy,Strategy
"Party, Role-playing",Puzzle
"Arcade, party",Puzzle
"Fighting, party",Action
"First-person shooter, puzzle",Shooter
Actionpuzzlestrategy,Strategy
"Action role-playing, Simulation",Action
"Adventure, Role-playing",RPG
"Arena combat, platformer",Platformer
Space adventure,Adventure
"Action game, tower defence",Action
Interactive movie,Adventure
"Adventure, stealth",Adventure
"Action, fighting",Action
Arena brawler,Action
"Role-playing, puzzle",RPG
Exploration,Adventure
Multiplayer online battle arena,Action
Olympicsports,Sports
Trivia,Puzzle
"2D platform, action",Platformer
Driving,Sports
3D brawler,Action
Hippie Game,Adventure
Real-time strategycity-building,Strategy
"Platform-adventure, metroidvania",Platformer
"Platform, vertically scrolling shooter",Platformer
"Action, battle",Action
Space trading and combat,Adventure
"Action-adv, beat 'em up",Action
War simulation,Simulation
"Strategy, tower defense",Strategy
Puzzle-platformer,Platformer
Porcelain Knight,Action
Arcadepuzzle,Puzzle
Interactive story,Adventure
"Platformer, adventure, pinball",Platformer
Dungeon crawl,RPG
"Hack and slash, platformr",Platformer
"God game, simulator",Simulation
"Action, adventure",Action
"Action-adv, hack and slash",Action
Battle royal,Action
Full motion video,Adventure
Assorted,Adventure
"Action-adv, stealth",Action
Role-playingturn-based,RPG
Various,Adventure
"Sports, turn-based strategy",Sports
Simulationsport,Sports
Action-adventuresurvival horror,Horror
"Puzzle, roguelike",Puzzle
Fantasy,RPG
Massively multiplayer online role-playing,RPG
"Action, turn-based tactics",Strategy
Management simulation,Simulation
Shooterroguelike,Shooter
Horroradventure,Horror
"3D platform, art",Platformer
Role-playinghack and slash,RPG
Beat'em up,Action
Actionmech,Action
"Open world, puzzle",Puzzle
"Action, third-person",Action
Card game,Puzzle
"Action, shoot 'em up",Action
Shootertower defence,Action
"Action, sandbox",Action
Party brawler,Puzzle
"Action, rogue-like",Action
Cinematic platformer,Platformer
"Board game, role-playing",Puzzle
"Shooter, side-scroller",Platformer
Beat 'em uptop-down shooter,Shooter
"Brawler, sidescroller",Platformer
Fishing,Simulation
"Roguelike, deck-building",Strategy
First-person adventure,Adventure
Battle arena,Action
Roguelite,Adventure
"Physics, puzzle",Puzzle
Action role-playingtown-building,Simulation
"Action, rougelike",Action
Physics based puzzler,Puzzle
"Simulation, survival",Simulation
Action role playing,RPG
"Roguelike, rhythm",Puzzle
Town-building,Simulation
Pinball,Puzzle
"Action-adv, platform",Platformer
Actionmaze,Puzzle
Actiontactical,Action
"Shooter, puzzle",Shooter
Bullet hellroguelike,Action
4Xreal-time strategy,Strategy
Actionstrategy,Strategy
"Platformer, role-playing",Platformer
Role-playingsports,Sports
Japanese role-playing,RPG
Puzzlestealth,Puzzle
"Turn-based, roguelike",Strategy
Adventureart,Adventure
Role-playingturn-based strategy,RPG
"Platform, rhythm",Puzzle
Adventurestrategy,Adventure
platformer,Platformer
"First-person, puzzle",Puzzle
"Music, puzzle",Puzzle
Adventure game,Adventure
Quiz,Puzzle
Giant,Action
"Adventure, racing",Sports
Sportsstrategyturn-based,Sports
Strategyturn-based tactics,Strategy
2D arena fighter,Action
"Role-playing, strategy",RPG
Vehicular sandbox,Sports
Sandboxsurvival,Action
Action-advnture,Action
Softstar,Action
Line Kong,Platformer
3D Platformer,Platformer
"Party, racing",Sports
Action-adventurehorror,Horror
Adventurehorrorpuzzle,Puzzle
Strategysurvival,Strategy
Acton role-playing,RPG
"Role-playing, tower defense",Action
Rogueliketower defense,Action
2Dactionside-scroller,Platformer
"Simulation, role-playing",Simulation
"2D fighter, platformer",Platformer
"Card game, party",Puzzle
"Action, brawler",Action
"Music, platformer",Puzzle
"Puzzle, strategy",Puzzle
Hack & slash,Action
Construction and management simulation,Simulation
Survival-horror,Horror
"Action-puzzler, rhythm-based",Puzzle
Battle royaleroguelike,Action
"Strategy, puzzle",Strategy
"Music & rhythm, party",Puzzle
"Action role-playing, platform",Action
"Puzzle, turn-based",Puzzle
Dungeon crawlerarena brawler,RPG
"Adventure, sandbox",Adventure
"Action, Shooter",Action
Survival Horror,Horror
Interactive fiction,Adventure
"Horror, stealth",Horror
First-person,Shooter
Stratergy,Strategy
"Action-adventure, platformer",Platformer
Adventurehorror,Horror
"Action, horror, puzzle",Horror
"Roguelike, brawler",Action
"Role-playing, platform",RPG
"Action, space combat",Action
Hangzhou Fengxia,Action
Actionparty,Action
"Platform, run and gun",Platformer
"Platformer, roguelike",Platformer
Survival adventure,Adventure
"Action, third-person shooter",Action
Third-person shooterroguelike,Shooter
Shoot 'em uproguelike,Shooter
"Platformer, strategy",Platformer
City-buildingsurvival,Simulation
"2D, action, strategy",Action
Multidirectional shooter,Shooter
2Dactionrogue-like,Action
"Side-scroller, stealth",Platformer
Turn-based,Strategy
"Puzzle, adventure",Puzzle
Metroidvaniaplatformer,Platformer
Cyberpunk,Action
